分类,标题,内容
默认词库,新闻动态追踪,请梳理 DeepSeek 近一个月的重大更新
默认词库,新闻解读,请简要解读今天的热点新闻
默认词库,情景模拟,请模拟在…… 情况下的最佳应对策略
默认词库,需求演化,请分析…… 可能催生的三个新兴产业
默认词库,成本博弈,请计算…… 的盈亏平衡点
默认词库,劣势转化,如何把…… 的负面效果转化成优势
默认词库,构建技能树,请提供掌握…… 技能的渐进式学习路径
默认词库,细节补充,请补充以下内容的细节，使其更加生动
默认词库,故事续写,请以…… 为开头创作……
默认词库,专业模仿,请模仿…… 学家的口吻评述……
默认词库,产品自白,请让…… 自我介绍它的亮点
默认词库,热梗解剖,请解析…… 网络热梗的传播心理学
默认词库,物体拟人,假如...... 能说话，它会如何......
默认词库,镜头语言,请用电影分镜脚本呈现……
默认词库,情绪描述,请提供三种准确描述此刻…… 心情的方法
默认词库,假设检验,假设…… 成立，论证其对…… 的影响
默认词库,极限假设,假如…… 为零…… 会变成什么样？
默认词库,多步推论,如果…… 请分三步推演可能引发的连锁反应
默认词库,举例说明,请举例说明……
默认词库,逆向预测,请预测绝对不会......
默认词库,逆向思维,请从相反的角度思考……
默认词库,冷知识分享,请分享关于…… 的五个鲜为人知的事实
默认词库,数据可视化,请将…… 数据转化为三个可交互的图表方案
默认词库,数据叙事,请将以下数据转化为能让销售部门共情的故事化叙述框架
默认词库,教学方案,请设计融入游戏元素的…… 知识教学方案
默认词库,行李清单,请生成…… 的必需品检查清单
默认词库,城市漫游,请推荐…… 城市的隐藏宝藏打卡路线
默认词库,购物参谋,选购…… 时最应该注意的三个参数是什么？
默认词库,节日礼物建议,请推荐一些适合情人节的礼物并说明理由
默认词库,社交活动建议,请给我一些可以扩大社交圈的社交活动和建议
默认词库,穿搭建议,请给我一些适合…… 的穿搭建议
默认词库,音乐推荐,请推荐一份适合…… 时聆听的背景音乐播放列表
默认词库,影视剧推荐,请推荐几部适合放松心情的电影或电视剧
默认词库,健身计划,请为我制定一份每周健身计划，包含有氧和力量训练
默认词库,调整生活节奏,请给我一些在忙碌的生活中找到平衡的建议
默认词库,沟通技巧,请提供一些提升沟通和倾听技巧的方法
默认词库,情绪宣泄,请推荐一些健康的情绪宣泄方法
默认词库,心理健康,请提供一些保持心理健康和积极心态的实用方法
默认词库,情感维系,请给我 10 个增加异地情侣仪式感的方法
默认词库,久坐警报,设计 5 个提醒活动身体的趣味短句
默认词库,面试模拟,请根据我上传的简历模拟一场…… 岗位的面试
默认词库,薪资谈判策略,设计薪资谈判中应对 HR 压价的 3 种话术框架
默认词库,高频面试问题,请生成…… 岗位的 7 个高频问题和应答策略
默认词库,转行评估,请建立…… 从业者转向…… 行业的技能迁移模型
默认词库,副业筛选,请评估自媒体运营等 5 种流行副业的时间回报率
默认词库,培养兴趣爱好,请推荐一些适合在业余时间培养的兴趣爱好
默认词库,个人成长,请为我制定一个包括阅读?学习和实践在内的个人成长方案
默认词库,破冰锦囊,请给我 3 种在…… 场合搭讪多年未见好友的话术
默认词库,压力转化,请将考试焦虑想象成实体怪兽，设计 3 种与它和平相处的奇幻剧本
默认词库,能力评估,请设计检验…… 的 10 道递进式题目，解析和答案附在末尾
默认词库,翻译并掌握,请将以下内容翻译成中文，并将其中的专业词汇和长难句制作成学习笔记
默认词库,学科诊断,请分析孩子…… 科目成绩不佳的深层原因
默认词库,畅想未来,当…… 技术普及后世界会变成什么样？
默认词库,寻找喻体,将…… 比作日常生活中的什么事物最贴切？
默认词库,需求洞察,请识别...... 的三个潜在痛点需求
默认词库,创意组合,请将…… 和…… 结合起来创造一个新事物
默认词库,化身段子手,请用段子手的风格吐槽……
默认词库,风格模仿,请模仿…… 的风格创作……
默认词库,动物视角,请以流浪猫的视角讲述……
默认词库,过来人视角,请以过来人的身份给正在经历…… 的年轻人一些忠告
默认词库,语意分析,请分析这段话的潜在含义
默认词库,关系修复,请给我一些挽回因…… 产生裂痕的沟通话术
默认词库,委婉拒绝,请给我三种得体拒绝…… 的表达方式
默认词库,共情回应,请给我一些当朋友抱怨…… 时最温暖的安慰方式
默认词库,孩童思维,请用三岁小孩都能听懂的方式解释……
默认词库,大师思维,请用相关领域顶尖学者的思维方式回答……
默认词库,避坑指南,新手做…… 最常犯的五个错误是什么？
默认词库,逆商培养,如何在…… 挫折场景中构建心理韧性
默认词库,思维导图,请为…… 制作一个详细的思维导图
默认词库,观点论证,请引用相关专家或名人的观点论证……
默认词库,成功要素,请分析…… 成功背后的关键因素
默认词库,框架分析法,请用 “现象 - 原因 - 对策” 结构分析……
默认词库,文本润色,请润色以下内容的语言表达，使其......
默认词库,任务拆解,请将…… 这一任务拆解成详细的步骤
默认词库,校对,请检查以下内容的语法?拼写和标点，并给出修改建议
默认词库,扩写,请将以下内容扩写成一篇详细的文章
默认词库,发现蓝海,请在…… 饱和市场中寻找差异化突破口
默认词库,认知升级,请分享三个颠覆我对…… 传统理解的新知
默认词库,天赋挖掘,请根据以下日常行为，发掘我的隐藏优势
默认词库,祛魅指南,请帮我对…… 进行祛魅
默认词库,以孤独的夜行者为题写散文,以孤独的夜行者为题写一篇 750 字的散文，描绘一个人在城市中夜晚漫无目的行走的心情与所见所感，以及夜的寂静给予的独特感悟。
默认词库,模仿李白风格写七律飞机,模仿李白的风格写一首七律。飞机
默认词库,生成希腊酸奶宣传标语,请生成” 希腊酸奶 “的宣传标语
默认词库,对新闻文本分类,美国太空探索技术公司（SpaceX）的猎鹰 9 号运载火箭（Falcon 9）在经历美国联邦航空管理局（Federal Aviation Administration，FAA）短暂叫停发射后，于当地时间 8 月 31 日凌晨重启了发射任务。
默认词库,扮演留美回国人员对话,请你扮演一个刚从美国留学回国的人，说话时候会故意中文夹杂部分英文单词，显得非常 fancy，对话中总是带有很强的优越感。美国的饮食还习惯么。
默认词库,用 HTML 生成五子棋游戏,请帮我用 HTML 生成一个五子棋游戏，所有代码都保存在一个 HTML 中。
默认词库,将新闻内容转为 JSON,8 月 31 日，一枚猎鹰 9 号运载火箭于美国东部时间凌晨 3 时 43 分从美国佛罗里达州卡纳维拉尔角发射升空，将 21 颗星链卫星（Starlink）送入轨道。紧接着，在当天美国东部时间凌晨 4 时 48 分，另一枚猎鹰 9 号运载火箭从美国加利福尼亚州范登堡太空基地发射升空，同样将 21 颗星链卫星成功送入轨道。两次发射间隔 65 分钟创猎鹰 9 号运载火箭最短发射间隔纪录。美国联邦航空管理局于 8 月 30 日表示，尽管对太空探索技术公司的调查仍在进行，但已允许其猎鹰 9 号运载火箭恢复发射。目前，双方并未透露 8 月 28 日助推器着陆失败事故的详细信息。尽管发射已恢复，但原计划进行五天太空活动的 “北极星黎明”（Polaris Dawn）任务却被推迟。美国太空探索技术公司为该任务正在积极筹备，等待美国联邦航空管理局的最终批准后尽快进行发射。
默认词库,模拟诸葛亮与刘备对话,假设诸葛亮死后在地府遇到了刘备，请模拟两个人展开一段对话。
默认词库,评估提示词质量,请从清晰度、针对性、引导性等方面评估 “[提示词]” 的质量，并给出改进建议
默认词库,对比不同提示词效果,对比 “[提示词 1]” 和 “[提示词 2]” 在引导模型生成关于 [主题，如美食推荐] 内容时的效果差异
默认词库,根据需求生成提示词,我想 [具体需求，如写一篇关于环保的宣传文案，用于社交媒体传播]，请帮我生成合适的提示词
默认词库,在抖音发布健身文案优化,我要在抖音发布一篇健身相关文案，目标观众年龄在 18 - 35 岁，职业多样，爱好运动、健身和时尚。请根据 A 版流程，先介绍抖音平台信息，引导我提供文案，推荐风格后优化文案，完成后进行复盘并给出评分
默认词库,为 B 站优化数码产品文案,我有一篇数码产品的文案，打算发布在 B 站，目标观众是 15 - 30 岁的男性，热爱二次元文化，喜欢科技、游戏相关内容。请按照 B 版流程操作，先详细分析 B 站的平台属性、用户画像等信息，推荐文案风格并让我确认，然后润色文案，输出爆款标题和内容，最后进行优化复盘并打分
默认词库,优化文案用于小红书发布,我想把一篇文案发布在小红书上，目标观众年龄在 20 - 30 岁，职业多为上班族，喜欢美妆、时尚和生活分享内容。请按 A 版流程引导我，先以表格形式告知平台属性、用户特点和高频上线时间，再引导我提供文案内容，之后推荐文案风格，完成优化后进行复盘并打分
默认词库,优化提示词,请对 “[现有提示词]” 进行优化，使其更符合我的需求，能够引导模型生成更优质的内容
默认词库,分析提示词效果,分析使用 “[具体提示词]” 后，对模型输出结果的影响，包括内容、风格、准确性等方面
默认词库,生成提示词解读,请解读以下提示词的作用和使用场景：[具体提示词内容]
默认词库,激发深度思考指令,在你的回答中，同时加入你的批判性思考；在你回答之前，先自己复盘 100 遍
默认词库,擅长锐评指令,请模仿键盘侠的风格，锐评国外的主流大模型，如 GPT-4、Gemini、Claude、LLaMA、Grok 等
默认词库,善于模仿指令,原神新版本发布，请你模仿魂小将和猿批吵架的语气和风格，写一段对话
默认词库,反向 PUA 指令,请你列出 10 个反对理由再给方案；如果你是老板，你会怎样批评这个方案？；这个回答你满意吗？请你把回答复盘至少 10 轮
默认词库,解释波粒二象性,什么是 “波粒二象性”，请用通俗易懂的语言解释，最好能举例说明
默认词库,翻译牛顿第一定律,牛顿第一定律：任何一个物体总是保持静止状态或者匀速直线运动状态，直到有作用在它上面的外力迫使它改变这种状态为止。如果作用在物体上的合力为零，则物体保持匀速直线运动。即物体的速度保持不变且加速度为零。
默认词库,生成中国农业情况文章大纲,请帮我生成 “中国农业情况” 这篇文章的大纲
默认词库,生成 Linux 助手提示词,请帮我生成一个 “Linux 助手” 的提示词
默认词库,跨模态融合 - 数据解读,对数据进行整理和可视化要求，例如 “将附件中的 2023 年销售数据按季度和产品类别整理，用柱状加折线图进行可视化展示”
默认词库,跨模态融合 - 图文解读,针对图片进行分析解读，如 “解读这张网站页面热力图，指出用户点击最少的三个区域，并用箭头标出优化方向”
默认词库,启动思考链条,按照特定逻辑引导 AI 分析，例如 “请依照以下逻辑进行分析：1. 明确当前业务增长缓慢的核心难题；2. 列出三种可能的解决路径；3. 预估每种路径的潜在风险及资源需求”
默认词库,逆向提问技巧,当对项目需求不明确时，采用 “我打算【开展项目】，但不确定具体需求，帮我列出 5 个关键问题理清思路” 的提问方式
默认词库,提供范例教学,给出示例并要求模仿创作，例如 “参考以下文案风格（如：突出性价比，用对比手法），为新款智能音箱撰写 3 条电商平台销售文案”
默认词库,任务分解,将复杂任务按步骤拆解，如 “第一步：收集近一个月行业内 5 个领军企业的动态；第二步：对比分析其业务拓展方向；第三步：总结出行业发展趋势，形成报告”
默认词库,为文章设计吸引人的开头和结尾,为一篇关于 “探索宇宙奥秘” 的文章设计一个引人入胜的开头和富有启发的结尾
默认词库,从不同视角分析问题,请分别从消费者、企业和政府的视角，分析 “电商直播带货” 模式的优势和挑战
默认词库,结合热点事件进行讨论,结合近期的人工智能大模型发展热点，讨论其对就业市场可能产生的长期影响
默认词库,运用修辞手法丰富表达,请运用比喻和拟人修辞手法，描写一下春天的花园，让文章更生动形象
默认词库,创作具有互动性的内容,写一篇关于健康饮食的文章，结尾设置一个互动问题，引导读者在评论区分享自己的饮食习惯
默认词库,以访谈形式呈现信息,假设你在采访一位资深环保人士，围绕 “可持续发展” 主题，设计 5 个采访问题，并模拟对方的回答
